candidate_id,rank,score,reasoning
CAND_0039754,1,1120.82,"Matched 7 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0002025,2,1047.66,"Relevant AI-focused profile with 7 key JD skills, strong activity signals and 5.9 years experience."
CAND_0011162,3,967.22,Strong AI/ML alignment with 7 matching skills and 5.8 years of industry experience.
CAND_0006557,4,935.34,Strong AI/ML alignment with 6 matching skills and 7.9 years of industry experience.
CAND_0013536,5,914.29,"Relevant AI-focused profile with 6 key JD skills, strong activity signals and 14.1 years experience."
CAND_0077285,6,905.89,Strong AI/ML alignment with 6 matching skills and 5.5 years of industry experience.
CAND_0008239,7,840.83,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0071974,8,823.22,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0044855,9,818.9,Strong AI/ML alignment with 5 matching skills and 6.6 years of industry experience.
CAND_0018549,10,817.85,"Relevant AI-focused profile with 6 key JD skills, strong activity signals and 6.8 years experience."
CAND_0055992,11,816.72,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 16.9 years experience."
CAND_0006418,12,816.45,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0042506,13,793.46,Strong AI/ML alignment with 5 matching skills and 4.2 years of industry experience.
CAND_0068811,14,786.08,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 8.0 years experience."
CAND_0064904,15,782.57,Strong AI/ML alignment with 5 matching skills and 4.9 years of industry experience.
CAND_0061655,16,772.99,Strong AI/ML alignment with 5 matching skills and 4.6 years of industry experience.
CAND_0008978,17,769.09,Strong AI/ML alignment with 6 matching skills and 6.7 years of industry experience.
CAND_0051630,18,764.16,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 6.0 years experience."
CAND_0096172,19,759.83,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0020708,20,744.23,Strong AI/ML alignment with 5 matching skills and 4.2 years of industry experience.
CAND_0001610,21,737.35,Strong AI/ML alignment with 5 matching skills and 3.0 years of industry experience.
CAND_0087364,22,726.94,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0055905,23,726.84,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 8.1 years experience."
CAND_0099806,24,722.37,Strong AI/ML alignment with 5 matching skills and 4.6 years of industry experience.
CAND_0049538,25,716.08,Strong AI/ML alignment with 4 matching skills and 5.8 years of industry experience.
CAND_0042029,26,713.45,Strong AI/ML alignment with 5 matching skills and 6.5 years of industry experience.
CAND_0044222,27,710.41,Strong AI/ML alignment with 5 matching skills and 7.7 years of industry experience.
CAND_0095528,28,707.93,Strong AI/ML alignment with 5 matching skills and 5.3 years of industry experience.
CAND_0074225,29,705.85,Strong AI/ML alignment with 4 matching skills and 4.3 years of industry experience.
CAND_0081686,30,702.29,Strong AI/ML alignment with 4 matching skills and 6.0 years of industry experience.
CAND_0011687,31,702.28,Strong AI/ML alignment with 4 matching skills and 7.8 years of industry experience.
CAND_0015578,32,695.9,Strong AI/ML alignment with 4 matching skills and 5.4 years of industry experience.
CAND_0088025,33,691.71,Strong AI/ML alignment with 4 matching skills and 8.6 years of industry experience.
CAND_0046064,34,680.86,Strong AI/ML alignment with 4 matching skills and 8.9 years of industry experience.
CAND_0037944,35,680.76,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 4.9 years experience."
CAND_0083307,36,678.85,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.8 years experience."
CAND_0036437,37,675.93,Strong AI/ML alignment with 5 matching skills and 4.8 years of industry experience.
CAND_0086151,38,675.44,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.7 years experience."
CAND_0033861,39,674.12,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 8.0 years experience."
CAND_0092245,40,670.94,"Matched 6 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0012957,41,669.5,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 4.9 years experience."
CAND_0020877,42,668.84,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 5.1 years experience."
CAND_0045250,43,664.46,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0086022,44,661.97,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 5.3 years experience."
CAND_0034400,45,661.48,Strong AI/ML alignment with 6 matching skills and 3.8 years of industry experience.
CAND_0076163,46,661.14,Strong AI/ML alignment with 4 matching skills and 6.9 years of industry experience.
CAND_0018499,47,657.85,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0089552,48,657.02,Strong AI/ML alignment with 4 matching skills and 6.0 years of industry experience.
CAND_0008618,49,656.88,Strong AI/ML alignment with 5 matching skills and 4.7 years of industry experience.
CAND_0052682,50,655.63,Strong AI/ML alignment with 4 matching skills and 6.6 years of industry experience.
CAND_0032515,51,648.95,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0022812,52,647.31,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 4.5 years experience."
CAND_0095619,53,647.17,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 15.6 years experience."
CAND_0096142,54,644.06,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0010257,55,639.32,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 6.5 years experience."
CAND_0051292,56,638.97,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0054123,57,638.19,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 4.7 years experience."
CAND_0039838,58,636.14,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0060072,59,635.91,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 5.7 years experience."
CAND_0047721,60,635.82,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.0 years experience."
CAND_0041611,61,630.76,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0094759,62,629.21,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0068351,63,629.2,Strong AI/ML alignment with 4 matching skills and 6.4 years of industry experience.
CAND_0014440,64,626.51,"Matched 5 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0007009,65,625.51,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0053591,66,624.25,Strong AI/ML alignment with 4 matching skills and 5.3 years of industry experience.
CAND_0081846,67,613.89,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 6.7 years experience."
CAND_0094056,68,611.56,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 5.9 years experience."
CAND_0032807,69,608.32,Strong AI/ML alignment with 4 matching skills and 4.2 years of industry experience.
CAND_0050454,70,606.59,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 6.8 years experience."
CAND_0091890,71,604.53,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 4.7 years experience."
CAND_0037566,72,600.57,"Relevant AI-focused profile with 3 key JD skills, strong activity signals and 6.9 years experience."
CAND_0093912,73,599.41,"Relevant AI-focused profile with 3 key JD skills, strong activity signals and 5.3 years experience."
